year_tc,temperature_change
1961,-0.14
1962,0.189
1963,0.229
1964,-0.292
1965,-0.073
1966,-0.252
1967,-0.108
1968,-0.421
1969,0.178
1970,-0.299
1971,-0.061
1972,0.305
1973,-0.166
1974,-0.087
1975,-0.322
1976,-0.474
1977,0.022
1978,0.196
1979,-0.044
1980,0.4
1981,0.17
1982,0.585
1983,0.035
1984,-0.086
1985,0.104
1986,0.294
1987,-0.136
1988,0.152
1989,0.454
1990,0.243
1991,0.237
1992,0.066
1993,0.316
1994,0.697
1995,0.795
1996,0.544
1997,0.471
1998,0.703
1999,0.607
2000,0.592
2001,0.508
2002,0.658
2003,0.806
2004,0.273
2005,0.732
2006,0.854
2007,0.465
2008,0.537
2009,1.073
2010,0.284
2011,1.016
2012,0.902
2013,0.748
2014,0.853
2015,1.096
2016,1.288
2017,1.546
2018,1.152
2019,1.286
